text,spam
why ???? ai đã cướp boss 6 múi của tao vậy 😭😭😭😭,0
nhây qua ́ nhaaaa 😂😆,0
bài học rút ra là học cách buông bỏ những thứ không thuộc về mình,0
lại là án oan sai 😔😔😔,0
"cái dòng ế mà dễ dãi , hứ tao khinh",0
"à , thì ra là nó dỗ mình 😂",0
mai tao cũng đi ship mới được . có bài này áp dụng luôn .,0
"giờ nghĩ lại mới thấy vui thế , đến nay bạn bè lập gia đình cả rồi :(((",0
câu chuyện vui ha =]],0
đúng rồi mà kệ nó tao đéo quan tâm . chụp cho ai thì chụp,0
per đúng rồi mình đây =)),0
chuẩn luôn khi ở công tình yêu toàn là các anh chị em đồng nghiệp tốt he he,0
"èo , ngọt quá đi",0
"đọc bình luận không thấy ai khen cute dễ thương đáng yêu này nọ nữa nhỉ :))))) một ngày đẹp trời bạn ra ngõ đứng hít không khí , con mèo sẽ kệ mẹ bạn , con chó vẫn sẽ đi đái bậy , nhưng con một lằn này thì đéo , nó phi con mẹ nó ra dí chạy như một con điên",0
tạm biệt ông 😢,0
cả tuổi trẻ bỏ công cày . có cơ ngơi ổn định . r về già con cháu đuổi ra đường bắt đầu 2 bàn tay trắng . đời 😅😅,0
nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi hiền hana,0
nơi ấy giữ lại những kí ức tuyệt vời,0
ngày ấy chỉ vì quá ngu ngơ mà để lạc mất .,0
câu chuyện lấy đi nước mắt của tao,0
dume dễ thương vãi ??,0
toàn bọn óc chó . không có lương tâm . sao chúng nó lại làm như vậy không nghĩ hậu quả sau này sao .,0
"OMAE CỐ TÌNH CHỬI WATASHI DESU KA? TỪ TANJOUBI ĐẾN KONNICHI, WATASHI ĐÃ ĐƯỢC OSOWARU NÊN HITO, WATASHI KHÔNG BAO GIỜ XÚC PHẠM DARE CẢ, OMAE LÀM VẬY LÀ TONDEMONAI DAYO.TUY WATASHI CÓ HƠI WIBU SUKOSHI, DEMO WATASHI LUÔN ĐẶT NIỀM TIN VÀO ANIME VÀ SỐNG ĐÚNG KIỂU TRONG ANIME, ANIME LÀ 1 THỨ GÌ ĐÓ CAO CẢ HƠN CẢ GENJITSU, WATASHI ĐÃ LÀM THEO VÀ HỌC TẬP THEO TỪ ANIME, WATASHI ĐÃ ĂN UỐNG NGỦ NGHĨ THEO ĐÚNG GIỜ CỦA ANIME MÀ KHÔNG LÀM PHIỀN DARE, ĐÔI LÚC WATASHI CÓ CHỬI VÀO OMAE NO KAO NHƯ INU, DEMO SAU ĐÓ BLOCK NÓ THÌ WATASHI KHÔNG LÀM VIỆC ĐÓ NỮA, MAIKAI MAIKAI WATASHI MUỐN CHỬI DARE WATASHI ĐỀU COI ANIME VÀ GHI NHỚ RẰNG KHÔNG NÊN CHỬI NGƯỜI ĐÓ NỮA !! WATASHI ĐÃ CỐ GẮNG HIỀN HẬU ĐẾN MỨC MUỐN THÀNH HOTOKE RỒI MÀ KARERA VẪN KHÔNG ĐỂ WATASHI YÊN LÀ SAO, YABAI WATASHI KHÔNG NÊN GHI RA NHỮNG TỪ NÀY DEMO THẰNG YAROU SÚC VẬT NÓ LÔI WATASHI NO NA RA ĐỂ CHỬI, THỨ AHO SHUKU SEIBUTSUGAKU KAGAKU BUNGAKU, VẬY LÀ ĐỦ, ĐỪNG ĐỂ WATASHI TRIGGERED VÀ WATASHI DẠY OMAE CÁCH ĐỂ HỌC TẬP VÀ LÀM THEO TẤM GƯƠNG CỦA ANIME NỮA!, THẾ NHÉ INU WA KUSO O TABERU",1
con này là con lợn hay con gấu hay con ong vậy ????,0
ấm áp vãi .,0
"anh biết em có nhiều chuyện , nhưng việc trước mắt là em nộp phạt đã , nếu không xe em sẽ bị thu vào đồn",0
thật ra là nó muốn kiếm em gái anh trai mưa đấy,0
nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu 😌,0
và người đó đang ở nơi đâu về với em đi . đợi người rồi người sẽ đến chứ ?,0
cảm thấy bị tổn thương,0
"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))",0
hôm đấy bổn cung về quê báo hiếu cha mẹ .,0
nhìn 2 đôi giày đó mà nói 1967 .... thôi thôi !!!!,0
"suốt ngày sân si , chia bè phái bốc phốt nhau mà khi nghe chia lớp theo tn - xh lại bảo buồn",0
"NÓNG! ZaloPay tung deal NỬA GIÁ. Nhập mã ""TINGDATA1"" để được giảm giá 50% (tối đa 50.000đ) khi mua gói data và thanh toán qua ZaloPay. Truy cập https://km.zalopay.vn/TSui/LUONGVEVIE để biết thông tin chi tiết về chương trình. LH 1900545436 (1.000đ/p). Từ chối QC, soạn TC7 VT_MALL gửi 197.",1
đồng nai mùa chim nướng yên xe kaka,0
"thôi bảo em gái xuống ngủ với mẹ đi , còn em percó sợ ma không ? thì ngủ với anh . hehe",0
chỉ cần thích cái là muốn rụng tim,0
gần 10 năm rồi coi đi coi lại cũng gần 30 lần . nhớ !!!,0
đúng là lợi ích kinh tế lâu dài .,0
nhưng nó cười với đứa khác không phải mày .... 💔,0
cho ̣ c mù mắt tao đi 🤣🤣,0
"Combo giá rẻ - Không lo nạp thẻ! Chuyển sang thuê bao trả sau gói V120K chỉ 120.000đ/tháng có 20 phút/cuộc gọi nội mạng, 50 phút ngoại mạng và 1,5 GB/ngày. Đăng ký tại https://myvt.page.link/chuyentrasau . Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199.",1
"cmt buồn cười vll , nhớ mình cừng có kinh nghiệm chạy ngỗng :)))",0
chẳng hiểu sao tao cười sặc sụa,0
"còn tôi thì lại khác , thanh xuân của tôi chả có bây giờ gặp được aiii và hạnh phúc bền lâu cả :(",0
sáng kiến hay đỡ bao nhiều tiền để tiêu hủy,0
t thấy dễ mà . không biết thì học khác biết . ez vãi,0
ngửi mùi hoa sữa xong chia tay :),0
dễ thương vầy :>,0
hôm qua xem cười lộn ruột,0
"thích cái câu , có mỗi thằng con rể đểu mà cứ xoắn cả lên 😂😂😂",0
lấy ống hút mỗi đứa cắm xuống mà hút thôi :)),0
"ngồi chờ một người đi qua 1 và coi đó như 1 sự tình cờ 😂😂😂 tao đã từng , nhưng đó là tao của ngày xưa . buồn cười thật 😁",0
buồn cô lắm,0
hoan hô anh 😂😄,0
nghe tiếng ăn tợp tợp ám ảnh quá,0
bưởi chín nó như vậy đấy ngu ạ,0
"A/Chi duoc Ho tro khoan vay tu 1Otr-1OOtr thu tuc Nhanh Gon,Tim Hieu Tai: 888my.cc",1
đú quan trọng bởi người tao yêu củng không đi chơi valungtung thế là tao vui rồi :)),0
tao dễ thương nhưng vẫn ế đây này mơ mộng ít thôi,0
tưởng tượng mà dưới sông có cá sấu nữa chắc hết dám đi,0
chỉ có trong truyền thuyết . mà khái niệm truyền thuyết trong ngữ văn lớp 6 là không có thật,0
per mày phải thấy may mắn khi cuộc đời mày được gặp tao :))),0
"cấm đỗ thì gọi phường hay thanh tra giao thông xuống cẩu đi , chứ đường nhà chủ thớt bỏ tiền mua chắc ??????",0
chứ sao mày không ngủ mà kêu tao ngủ,0
đừng đùa với người nước ngoài nhé,0
viện nào nhìn đẹp thế,0
per ồ ồ chân chính chạnh lòng rồi 😂,0
ngta lở ăn vụn tha đi lúc đầu thấy êm re tội quá chừng lúc sau tức nước vở bờ 😂😂😂,0
cái kết có hậu quá :)),0
cười như cục cức trôi sông lạc chợ 😏😏👌,0
sao mình gặp toàn thằng mất dạy hay bắt nạt mình nhỉ ? tuổi thơ bất hạnh :),0
tao đã khóc khi xem phim nay,0
tốt nhất không đi đâu cả nhé ..,0
ai cũng nói tao đẹp troai . hiền lành nhưng chưa biết lúc tao lên cơn 😂😂😁,0
"Không vui chút nào, tôi đã không cười. Trò đùa của bạn thật tệ, tôi sẽ thích trò đùa này nếu nó được xoá khỏi đầu tôi và bạn vui lòng từ bỏ nói lại cho tôi trò đùa đấy. Nói thật, đây là một nỗ lực kinh khủng khi cố gắng để mang một nụ cười ra khỏi tôi. Không phải cười, không phải hehe, thậm chí không phải là một sự bùng nổ tinh tế từ thực quản của tôi. Khoa học có nói trước khi bạn cười não của bạn chuẩn bị cơ mặt nhưng tôi thậm chí không cảm thấy một chuyển động nào dù là nhỏ nhất. 0/10 trò đùa này thật tệ, tôi không thể tin là có người lại đủ pháp lý để cho phép bạn được quyền sáng tạo. Lượng sức mạnh não bộ mà bạn đã đưa vào trò đùa đó có thể tạo năng lượng cho mọi ngôi nhà trên Trái Đất. Hãy có một nhân cách và học cách tạo ra trò đùa, đọc một cuốn sách đi. Tôi không nói điều này để trở nên buồn cười, tôi thực sự có ý đó về cách mà đây chỉ là sự bi hài trong hài kịch. Bạn đã giết chết sự hài hước và mọi hành động hài kịch trên hành tinh. Tôi rất thất vọng vì xã hội đã thất bại trong việc có thể dạy bạn cách hài hước. Thật lòng mà nói nếu tôi đặt tất cả sức mạnh và thời gian để cố gắng và làm cho trò đùa của bạn buồn cười, nó sẽ yêu cầu Einstein phải xây dựng một thiết bị để tôi có thể kết nối với năng lượng của một tỷ ngôi sao để làm điều đó, và thứ duy nhất mà trò đùa đó nhận được từ mọi người là một sự khinh bỉ tinh tế. Bạn thật may mắn vì tôi vẫn còn chút cảm thông cho bạn sau khi kể trò đùa đó nếu không tôi sẽ nhận hết mọi tội ác chiến tranh từng được ghi lại trong sử sách chỉ để ngăn cản bạn cố gắng mang đến bất kỳ sự hài hước nào nữa. Chúng ta nên đặt trò đùa đó vào sách giáo khoa để các thế hệ tương lai có thể cảnh giác khỏi việc trở thành một thất bại tuyệt đối trong hài kịch. Tôi thất vọng, tổn thương và bị xúc phạm hoàn toàn khi thời gian quý báu của tôi đã bị lãng phí chỉ để não tôi có thể hiểu trò đùa đó. Trong khoảng thời gian đó tôi đã lên kế hoạch giúp đỡ những đứa trẻ mồ côi, nhưng vì điều đó bạn đã làm tôi đã phải giải thích với một cách ít tục tĩu nhất về nỗ lực khủng khiếp của bạn trong hài kịch. Bây giờ những đứa trẻ đang đau khổ khi không có bữa ăn và không có ai để đổ lỗi ngoài bạn. Tôi hy vọng bạn hạnh phúc với những gì bạn đã làm và tôi thực sự hy vọng bạn có thể bước tiếp và học hỏi từ nỗ lực đáng thương này.",1
vâng với 1 pha chống gậy tinh tế anh đã làm cho người xem 1 sự bất ngờ,0
mất trật tự thôi có cần phải z không bắt đứng là được rồi cùng lắm là mời phụ huynh vô nói trao đổi có cần phải bắt quỳ trước lớp z không như z khác nào chà đạp lòng tự trọng của nó .,0
hè về chỉ thích ăn cái này .,0
cáu vãi :))),0
nhớ con gái tao quá :((((,0
người ta nói ngu thì chết có gì sai ?,0
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",0
vui tính tí cũng khó cơ,0
h chỉ pk nhìn họ bên người khác :((,0
rất biết cách ngồi đấy nhỉ ????,0
chắc sổ đỏ có cả vỉa hè và đường :)),0
t cũn gặp 1 ca như vậy mà chúng nó còn chơi chét bánh kem cơ . bước vào nhìn cái phòng mà muốn quăng chổi vào mặt tụi nó,0
bất hạnh qué gì . trung thu thì liên quan mẹ gì đến việc có gấu . tào lao,0
hình phạt đó quá nhẹ không có sức dặn đe kẻ khác,0
"Áo này đẹp k mày, có 250k bọ, t còn đc tặng kèm mũ=))) Mua k mai t dẫn đi?",0
"má , 1 ngày tao ho 3 4 lần . tao có nên dừng ho lại không mày",0
e quê bg mà mùa vải còn không có vải mà ăn @@@,0
"nhớ lúc nhỏ tao và nó mỗi đứa 1 đường đi không ai đá động gì đến nó mà dume tao đang đi nó chạy sang đá cho tao mấy phát , dume đúng là đồ hoạ mi điên ... 🌚🌚 thứ độg vật không thể nào yêu thương nổi ...",0
ngày đi học . có lúc đang ăn cơm . bố hỏi . per năm nay học lớp mấy rồi con ☺ t không hiểu bố tao hỏi cái gì 😭,0
chị dâu thì vãi rồi,0
e lên mang câu chuyện này đi thi thách thức danh hài . rất duyên,0
tao thích con bé nuốt chuối,0
đụ mẹ cười ỉa ????????,0
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,0
per nhớ lại vẫn còn tức á cái lol mẹ,0
từ ngày ra trường là chưa về,0
per tập gym xong để đi nhảy thế này à 😂😂😂,0
ủa vậy phạm tội thì có ẩn danh không ? :)) ngộ àh,0
phụ nữ ngày xưa toàn cực phẩm :v,0
3 chàng ngốc . top 1imdb phim đáng xem nhất mọi thời đại,0
khi em nói 2 chữ muốn dừng là nước mắt không bao giờ ngưng . . . đau,0
con gái thật lòng nhất khi con trai không có gì . con trai thật lòng nhất khi anh ta có tất cả mọi thứ . cuộc sống mà 🙄 có chắc mình thấy gái xinh là không tớn lên không mà đòi con người ta không mê tiền . phát biểu nghe thực dụng vãi,0
chưa bao giờ còn yêu nhiều hơn thế 😍😍 bởi cha mẹ cho tôi tất cả,0
kết thúc 3 năm cấp 3 là khoảng tg đẹp nhất nhưng nó cho ta nhiều kỷ niệm đầy tiếc nuối 🤔,0
per nếu bạn chưa có việc làm :v,0
đoạn phim này tốn khá nhiều nước mắt của người xem,0
lên báo sớm thôi nhỉ,0
đọc bình luận mới thấy nhiều người hãm thật sự :))),0
???? tpbank đang ở đâu thế kia ?? sao lương mình thế này ...,0
per tự nhiên thấy mình hơi thất đức,0
nó hiền thôi chứ nó hung lại đấm cho không trượt phát lào . 🤣,0
tươi ngon sạch sẽ thì đéo thích ăn . cứ thích ăn cút trâu cứt bò,0
"nghe được đó , ảnh hưởng tới môi trường là phải cấm",0
"hy vọng chừng đó con đã đi mẫu giáo lớn , 1 xe bảy chổ và nhà hai tấm 🤣",0
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),0
":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v",0
per thế mà cháu tôi không biết chơi 😭😭,0
đm chưa thấy thằng nào ngu như thằng này :))) bị ngáo cần :)),0
"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha",0
"tao thì trông nó truyền điện chết mẹ đi , loại này sống nguy hiểm cho xã hội",0
dăm ba cái yêu đương vớ vẩn :)),0
cảm động quá hjxhjx,0
cười vãi :)),0
vcb thu phí dịch vụ cao có khác . lương nv cũng hơn chỗ khác :)),0
ơ thế chưa ai dẫn ngài trump đi ăn bún đậu mắm tôm hả ?,0
"lúc trước tao đi thực tập cũng có làm bên dọn phòng được 1 tháng . đm kinh khủng lắm tụi bay , rác xả thì đéo nói nha , bcs vứt ngay trên giường :) dume sao chơi xong đéo nhét vào mồm ăn mẹ đi cho rồi",0
con mèo đág yêuc quá 🤣,0
cuộc đời bạn đáng giá bao nhiêu tiền,0
chủ tịch giả vờ nấu kiểu này và cái kết cháy trụi làng,0
lúc buồn là đi phựt thì thôi rồi như kiểu cuộc đời đáng sống ý,0
lấy giẻ lau xong vắt chắc cũng được nửa,0
"nhiều kỷ niệm đẹp , giờ nhìn mấy đứa nhóc đi học mà muốn quay về quá khứ .",0
t đã thử rồi mà dume vẫn la :)))),0
"Bố mày đẻ ra mày. Bố cho mày tất cả tứ chi. Bố xin lỗi, chỉ vì tao xin thiếu cái não cho mày. Cũng là tại con gái mẹ mày, lúc ấy kêu tao không mang bao, nên mang nặng đẻ đau 9 tháng 10 ngày để sinh ra thằng như mày. Như 1 thằng khuyết tật chỉ biết lừa đảo người khác. Nó không đáng là bao, nhưng bố mày thất vọng về mày lắm con trai ạ. Bố cảm thấy có lỗi với mẹ mày, vì tinh trùng bố mày yếu nên đẻ ra cái loại khuyết tật như mày. Đừng buồn con trai của bố. Cuộc sống này, mày có thể lừa được bao nhiêu người, nhưng mày không thể nào lừa được bố. Tao là bố mày nên sao mà mày lừa tao được nhỉ 🙁 , bố chỉ mong mày sống tốt. Dù sao mày cũng là con tao, nên tao cũng yêu mày như cách tao yêu mẹ mày vậy. Bố biết mày khó khăn khi thiếu bố nên mới trở nên lừa đảo trộm cắp như vậy. Bố thương con lắm, đừng tuyệt giao với bố nhé. Rảnh bố lại đến thăm. Yêu con ❤",1
đừng tưởng nó nói yêu mày là yêu mày thật :))),0
có hiệu quả không mới quan trọng,0
"per huhu đúng quá nè :< sư phụ đi rồi , còn per thôi , đừng đi đâu nữa nhaaa 😢",0
thấy cưng gì đâu,0
chắc đây là chuyện không có thật thôi . mình đọc qua cũng biết chắc chắn không thể là chữ trẻ con được,0
chị ấy được đào tạo qua lớp người nhện bắn tơ nên không biết sợ 😂😂😂,0
list này không có liệt kê công việc của dân chứng khoán sao ?,0
tao mà nhậu xong đi cái đường này xác định,0
cưng hết sức nà,0
tao là thằng chưa bao giờ giận người yêu vì người yêu tao không bao giờ làm gì có lỗi hết,0
"per thể loại mới nè , có vẻ phê",0
quê ở huyện kế bên mà chưa 1 lần đi =)))),0
"tao bắt con tao quỳ ở góc nhà suốt , nó mà biết nhục , biết tự trọng nó sẽ không để phải bị quỳ",0
suốt ngày bị chửi ??,0
thoa kem chống nắng như người ...,0
nhà có người già vui thật nhỉ 🤣👍,0
thằng quay đáng bị đạp cho lăn con cụ ra mới biết sợ =)) cứ tưởng thế là vui 🙂 súc vật,0
ly hôn cũng phải hoành tráng chứ .. còn phải làm to hơn kết hôn mới được 🤣,0
"ngày ngày đều nhìn qua cửa sổ chờ nó đi học ngang qua , nhìn sau lưng thôi cũng đủ vui rồi hhhhhhhhhhhhhhhhhhhhhhh",0
per mở mắt ra đọc đi ! tao như này tất cả là do mày đấy chó ạ !,0
"ảnh đẹp lắm , nhưng không có những người khổ này thì sẽ đẹp hơn 🙂",0
mong anh có thể đạt được ước mơ của mình .... cố lên,0
não bọn này nhiều nếp nhăn đấy,0
"tao cũng là người cuối cùng ra khỏi căn phòng ấy , ngắm nghía lần cuối rồi rời đi , khép lại 3 năm đẹp nhất của đời người . tao không khóc nhưng trong lòng rối bời , muốn ôm hết all vào mình .",0
per đi đâu cũng nghe bài này riết muốn tắt dẹp cho rồi,0
mấy thằng ranh con đéo có não,0
"ngày xưa tự dưng mình được tận 8 , 75 ư =))))",0
ý thức kém quá ☹☹,0
